CASE,SD01,SD03,SD17,SD19,SM01,SM04,SM04_01,SM05_01,SM05_02,SM06_01,SM06_02,SM06_03,SM06_04,SM06_05,SM06_06,SM06_07,SE01_01,SE01_02,SE01_03,SE01_04,SE01_05,SE01_06,SE01_07,SE01_08,SE01_09,MISSREL,TIME_RSI,DEG_TIME
179,female,20,500 € up to 1000 €,High school,Yes,Approx.,18,0,35,2-6 times a week,Once a day,Several times a day,2-6 times a week,Several times a day,2-6 times a week,Less than once a week,Moderate disagreement,Slight agreement,Moderate disagreement,Slight agreement,Slight agreement,Moderate disagreement,Moderate disagreement,Slight disagreement,Moderate disagreement,0,"1,19",14
181,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"0,43",0
182,,,,,No,,,,,,,,,,,,,,,,,,,,,0,"2,5",81
183,female,20,500 € up to 1000 €,High school,Yes,Approx.,25,0,32,2-6 times a week,2-6 times a week,Several times a day,Less than once a week,Several times a day,Less than once a week,2-6 times a week,Slight disagreement,Slight agreement,Strong disagreement,Slight agreement,Strong agreement,Slight agreement,Moderate disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,0,"1,27",15
185,female,19,1000 € up to 1500 €,School,Yes,Approx.,20,1,4,Never,Less than once a week,Several times a day,2-6 times a week,Several times a day,Less than once a week,Less than once a week,Moderate disagreement,Slight agreement,Slight agreement,Slight agreement,Moderate agreement,Slight agreement,Niether agreement nor disagreement,Slight agreement,Moderate disagreement,0,"0,96",4
187,male,21,500 € up to 1000 €,Bachelor,Yes,Approx.,60,0,12,Never,Less than once a week,Once a day,Once a day,Once a day,Never,Once a week,Slight agreement,Strong agreement,Moderate disagreement,Slight disagreement,Niether agreement nor disagreement,Slight agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,0,"0,7",6
193,female,47,5000 € or more,Master,Yes,Approx.,8,1,5,Never,Never,Once a day,Less than once a week,Once a day,Once a day,Less than once a week,Strong agreement,Strong agreement,Niether agreement nor disagreement,Strong agreement,Strong disagreement,Strong agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,0,"0,42",0
195,,,,,Yes,I have not visited Instagram today.,,0,48,Never,Less than once a week,Several times a day,2-6 times a week,Once a week,Never,Less than once a week,,,,,,,,,,0,"1,1",28
202,male,23,500 € up to 1000 €,High school,Yes,Approx.,45,0,59,2-6 times a week,Once a day,Several times a day,Less than once a week,Once a day,Less than once a week,Never,Moderate disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Strong agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,0,"1,42",21
204,female,22,250 € up to 500 €,Bachelor,Yes,Approx.,60,1,53,Never,Never,Several times a day,Once a day,Never,Never,Never,Strong disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Strong agreement,Strong agreement,Strong disagreement,Strong disagreement,Strong disagreement,Slight agreement,0,"1,14",13
205,female,26,1000 € up to 1500 €,Bachelor,Yes,Approx.,10,0,17,Never,Never,Several times a day,Never,Once a week,Never,Never,Niether agreement nor disagreement,Moderate agreement,Slight agreement,Moderate agreement,Slight disagreement,Moderate agreement,Slight agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,0,"2,01",51
208,female,23,250 € up to 500 €,High school,Yes,Approx.,30,1,30,Once a week,2-6 times a week,Several times a day,2-6 times a week,Several times a day,2-6 times a week,Never,Moderate disagreement,Strong agreement,Niether agreement nor disagreement,Slight agreement,Strong disagreement,Niether agreement nor disagreement,Strong disagreement,Moderate agreement,Strong disagreement,0,"1,95",47
212,female,23,2000 € up to 3000 €,Bachelor,Yes,Approx.,20,2,24,Less than once a week,Less than once a week,Several times a day,Never,2-6 times a week,Less than once a week,Never,Niether agreement nor disagreement,Moderate agreement,Slight disagreement,Niether agreement nor disagreement,Moderate agreement,Niether agreement nor disagreement,Slight agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,0,"1,15",16
213,,,,,No,,,,,,,,,,,,,,,,,,,,,0,2,56
221,female,22,1000 € up to 1500 €,Bachelor,Yes,Approx.,50,2,12,Once a week,Once a day,Once a day,Never,Several times a day,Less than once a week,Less than once a week,Strong disagreement,Moderate disagreement,Strong disagreement,Moderate disagreement,Moderate agreement,Slight disagreement,Niether agreement nor disagreement,Slight agreement,Niether agreement nor disagreement,0,"1,54",27
225,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"1,97",48
226,male,24,1000 € up to 1500 €,Bachelor,Yes,Approx.,25,2,10,Never,Never,2-6 times a week,Once a day,Once a week,Never,Never,Moderate agreement,Moderate agreement,Moderate disagreement,Strong agreement,Slight agreement,Slight agreement,Slight agreement,Strong agreement,Strong agreement,0,"1,5",25
227,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"1,31",16
229,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"0,62",0
232,female,20,I do not wish to answer,High school,Yes,Approx.,15,0,53,2-6 times a week,Once a day,Several times a day,Less than once a week,Several times a day,Less than once a week,Less than once a week,Moderate disagreement,Moderate agreement,Strong disagreement,Moderate disagreement,Strong agreement,Slight agreement,Niether agreement nor disagreement,Slight agreement,Moderate disagreement,0,"1,35",27
258,,,,,Yes,Approx.,120,,,nicht beantwortet,nicht beantwortet,nicht beantwortet,nicht beantwortet,nicht beantwortet,nicht beantwortet,nicht beantwortet,,,,,,,,,,69,"1,56",91
259,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"2,17",65
